"counter","unitid","floorplangroup","floorplanid","location","manufacturer","make","model","class","designation","stocknumber","vin","year","age","holdtype","msrp","dsrp","unitstatus","totalcost","nada","ordernumber","basecost","basefreightcost","invoice","consignmentamount","orderdate","receiveddate","userdefinedamt1","percent_gp_of_dsrp","percent_gp_of_unlock","floorprice","product_description","cost_sheet_invoice","invoice_pre_freight","freight","price_protection_rebate","manufacturer_to_dealer_rebate","nada_original","major_unit_header_id","unit_data_source","userdefinedamt2","userdefinedamt3","igh","max_p","max_r","tradedealid","true_total_cost","makeid","productionzone","pp_created_date","single_pp_created_date","dsrp_variance_flag","msrp_variance_flag","sub_location_name","sub_location_id","cmf_id","current_location","repname","repemail","repphone","consignment_total_cost","CodeName"
"2095",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","295RUCD","TT","New","L00061","",2025,46005,"","70966.00","54995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","54895.00","1.000","1.000","0.00","Jayco EAGLE HT 295RUCD","-186.06","0.00","-186.06","0.00","0.00","0.00",250073710,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"2096",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","320MKTS","TT","New","L00063","",2025,46005,"","72466.00","47495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00","1.000",NULL,"0.00","Jayco EAGLE HT 320MKTS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073734,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3054",NULL,NULL,NULL,"JOR","Jayco","Jay Flight Bungalow","40LOFT","TT","New","L00054","",2025,46005,"","88022.00","74495.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","74395.00","1.000","1.000","0.00","Jayco Jay Flight Bungalow 40LOFT","-186.06","0.00","-186.06","0.00","0.00","0.00",250073609,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3045",NULL,NULL,NULL,"JOR","Jayco","JAY FLIGHT","265THW","TTTH","New","L00050","",2025,46005,"","43935.00","0.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00",NULL,NULL,"0.00","Jayco JAY FLIGHT 265THW","-186.06","0.00","-186.06","0.00","0.00","0.00",250073549,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3049",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","274FKDS","TT","New","L00058","",2025,46005,"","72173.00","55995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","55895.00","1.000","1.000","0.00","Jayco EAGLE HT 274FKDS","-186.06","0.00","-186.06","0.00","0.00","0.00",250073658,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3065",NULL,NULL,NULL,"JOR","Jayco","Jay Flight Bungalow","JayLoft","TT","New","L00056","",2025,46005,"","93518.00","72995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00","1.000",NULL,"0.00","Jayco Jay Flight Bungalow JayLoft","-186.06","0.00","-186.06","0.00","0.00","0.00",250073636,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3029",NULL,NULL,NULL,"JOR","Jayco","JAY FLIGHT SLX","265BHSW","TT","New","L00042","",2025,46005,"","41543.00","0.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00",NULL,NULL,"0.00","Jayco JAY FLIGHT SLX 265BHSW","-186.06","0.00","-186.06","0.00","0.00","0.00",250073418,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3037",NULL,NULL,NULL,"JOR","Jayco","EAGLE HT","26REC","FW","New","L00067","",2025,46005,"","66249.00","50995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","50895.00","1.000","1.000","0.00","Jayco EAGLE HT 26REC","-186.06","0.00","-186.06","0.00","0.00","0.00",250073787,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3039",NULL,NULL,NULL,"JOR","Jayco","JAY FLIGHT SLX","175FQW","TT","New","L00033","",2025,46005,"","33368.00","0.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","0.00",NULL,NULL,"0.00","Jayco JAY FLIGHT SLX 175FQW","-186.06","0.00","-186.06","0.00","0.00","0.00",250073268,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
"3070",NULL,NULL,NULL,"JOR","Jayco","JAY FEATHER","32RL","TT","New","L00028","",2025,46005,"","63300.00","50995.00","In Inventory","0.00","0.00","","0.00","0.00","0.00","0.00","1000-01-01","1900-01-01","50895.00","1.000","1.000","0.00","Jayco JAY FEATHER 32RL","-186.06","0.00","-186.06","0.00","0.00","0.00",250073162,"majorunit","0.00","0.00","0.00","0.00","0.00",NULL,"0.00",NULL,NULL,NULL,NULL,False,False,NULL,NULL,"76226216","JOR",NULL,NULL,NULL,NULL,""
